DATABASE_ID,GENERIC_NAME,SMILES,CID
LMWDB000001,1-Aminopropan-2-ol,CC(CN)O,4
LMWDB000002,3-Methyl-2-oxovaleric acid,CCC(C)C(=O)C(=O)O,47
LMWDB000003,alpha-Ketoglutaramate,C(CC(=O)N)C(=O)C(=O)O,48
LMWDB000004,3-Methyl-2-oxobutanoic acid,CC(C)C(=O)C(=O)O,49
LMWDB000005,2-ketoglutaric acid,C(CC(=O)O)C(=O)C(=O)O,51
LMWDB000006,2-oxobutanoic acid,CCC(=O)C(=O)O,58
LMWDB000007,4-methyl-2-oxopentanoic acid,CC(C)CC(=O)C(=O)O,70
LMWDB000008,2-Oxoadipic acid,C(CC(=O)C(=O)O)CC(=O)O,71
LMWDB000009,"3,4-DIHYDROXYBENZOIC ACID",C1=CC(=C(C=C1C(=O)O)O)O,72
LMWDB000010,3-Aminopropanal,C(CN)C=O,75
LMWDB000011,2-Amino-3-hydroxybenzoic acid,C1=CC(=C(C(=C1)O)N)C(=O)O,86
LMWDB000012,3-Hydroxy-dl-kynurenine,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,89
LMWDB000013,3-(3-hydroxyphenyl)propanoic acid,C1=CC(=CC(=C1)O)CCC(=O)O,91
LMWDB000014,3-oxohexanedioic acid,C(CC(=O)O)C(=O)CC(=O)O,93
LMWDB000015,acetoacetic acid,CC(=O)CC(=O)O,96
LMWDB000016,3-mercaptopyruvic acid,C(C(=O)C(=O)O)S,98
LMWDB000017,Phosphohydroxypyruvic acid,C(C(=O)C(=O)O)OP(=O)(O)O,105
LMWDB000018,hydrocinnamic acid,C1=CC=C(C=C1)CCC(=O)O,107
LMWDB000019,3-pyridineacetic acid,C1=CC(=CN=C1)CC(=O)O,108
LMWDB000020,3-Ureidopropionic acid,C(CNC(=O)N)C(=O)O,111
LMWDB000021,4-aminobutanal,C(CC=O)CN,118
LMWDB000022,4-aminobutyric acid,C(CC(=O)O)CN,119
LMWDB000023,4-hydroxyphenylacetic acid,C1=CC(=CC=C1CC(=O)O)O,127
LMWDB000024,Imidazol-4-one-5-propionic acid,C1=NC(C(=O)N1)CCC(=O)O,128
LMWDB000025,"3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoic acid",CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O,131
LMWDB000026,4-HYDROXYBENZOIC ACID,C1=CC(=CC=C1C(=O)O)O,135
LMWDB000027,5-Aminolevulinic acid,C(CC(=O)O)C(=O)CN,137
LMWDB000028,5-Aminovaleric acid,C(CCN)CC(=O)O,138
LMWDB000029,"2-[[4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid",C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,143
LMWDB000030,5-hydroxytryptophan,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,144
LMWDB000031,acetic acid,CC(=O)O,176
LMWDB000032,Acetaldehyde,CC=O,177
LMWDB000033,acetaldehyde,CC=O,177
LMWDB000034,acetoin,CC(C(=O)C)O,179
LMWDB000035,Acetone,CC(C)=O,180
LMWDB000036,2-acetamidopentanedioic acid,CC(=O)NC(CCC(=O)O)C(=O)O,185
LMWDB000037,3-Acetyloxy-2-aminopropanoic acid,CC(=O)OCC(C(=O)O)N,189
LMWDB000038,adenine,C1=NC2=NC=NC(=C2N1)N,190
LMWDB000039,agmatine,C(CCN=C(N)N)CN,199
LMWDB000040,Allantoic acid,C(C(=O)O)(NC(=O)N)NC(=O)N,203
LMWDB000041,allantoin,C1(C(=O)NC(=O)N1)NC(=O)N,204
